

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
052.638  000.107  000.035: require('ibl.scope')
052.641  000.294  000.045: require('ibl')
053.012  000.213  000.213: require('smartcolumn')
053.285  000.249  000.249: require('alpha')
053.331  000.046  000.046: require('alpha.themes.dashboard')
053.744  000.042  000.042: require('nvim-treesitter.utils')
054.039  000.037  000.037: require('vim.treesitter.language')
054.043  000.084  000.048: require('vim.treesitter.query')
054.079  000.036  000.036: require('vim.treesitter._range')
054.082  000.170  000.050: require('vim.treesitter.languagetree')
054.085  000.216  000.046: require('vim.treesitter')
054.628  000.883  000.667: require('nvim-treesitter.parsers')
054.790  000.034  000.034: require('nvim-treesitter.compat')
054.871  000.043  000.043: require('nvim-treesitter.ts_utils')
054.873  000.083  000.039: require('nvim-treesitter.tsrange')
054.908  000.034  000.034: require('nvim-treesitter.caching')
054.912  000.196  000.045: require('nvim-treesitter.query')
054.918  000.248  000.052: require('nvim-treesitter.configs')
054.920  000.291  000.043: require('nvim-treesitter.info')
054.968  000.047  000.047: require('nvim-treesitter.shell_command_selectors')
054.976  001.330  000.067: require('nvim-treesitter.install')
055.012  000.035  000.035: require('nvim-treesitter.statusline')
055.054  000.042  000.042: require('nvim-treesitter.query_predicates')
055.056  001.624  000.216: require('nvim-treesitter')
055.243  001.836  000.212: sourcing /Users/amer3107/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
056.249  000.046  000.046: require('nvim-treesitter.highlight')
056.356  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/editorconfig.lua
056.456  000.073  000.073: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/gzip.vim
056.493  000.004  000.004: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/health.vim
056.554  000.034  000.034: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/man.lua
057.365  000.078  000.078: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
057.512  000.929  000.851: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchit.vim
057.603  000.063  000.063: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchparen.vim
057.637  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/netrwPlugin.vim
057.688  000.024  000.024: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/nvim.lua
057.775  000.061  000.061: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/rplugin.vim
057.829  000.026  000.026: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/shada.vim
057.867  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/spellfile.vim
057.934  000.040  000.040: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tarPlugin.vim
057.998  000.036  000.036: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tohtml.vim
058.032  000.006  000.006: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tutor.vim
058.114  000.053  000.053: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/zipPlugin.vim
058.252  000.036  000.036: sourcing /Users/amer3107/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
058.324  000.028  000.028: sourcing /Users/amer3107/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
058.385  053.095  014.678: require('plugins.lazy')
058.526  053.549  000.164: sourcing /Users/amer3107/.config/nvim/init.lua
058.532  000.846: sourcing vimrc file(s)
058.790  000.028  000.028: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/filetype.lua
058.967  000.043  000.043: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/syntax/synload.vim
059.022  000.180  000.136: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/syntax/syntax.vim
059.026  000.286: inits 3
060.377  001.351: reading ShaDa
060.526  000.047  000.047: require('luasnip.util.directed_graph')
060.600  000.074  000.074: require('luasnip.session.enqueueable_operations')
060.603  000.190  000.069: require('luasnip.loaders.from_lua')
060.888  000.038  000.038: require('luasnip.util.events')
060.893  000.090  000.052: require('luasnip.nodes.node')
060.949  000.056  000.056: require('luasnip.nodes.insertNode')
060.990  000.040  000.040: require('luasnip.nodes.textNode')
061.033  000.042  000.042: require('luasnip.util.mark')
061.068  000.035  000.035: require('luasnip.util.pattern_tokenizer')
061.115  000.037  000.037: require('luasnip.util.dict')
